Pose_Class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right,ankle_left,ankle_right
Cobra,12,10,153,153,82,98,170,168,128,128
Cobra,22,5,163,179,5,170,148,163,173,158
Cobra,5,5,69,69,87,89,172,173,149,150
Cobra,23,10,73,66,84,94,164,153,86,82
Cobra,18,16,166,168,122,55,171,173,127,117
Cobra,27,24,168,165,100,83,170,177,152,152
Cobra,12,15,163,167,89,84,167,164,157,164
Cobra,21,21,126,133,96,82,179,177,157,147
Cobra,13,14,176,175,81,98,165,163,120,159
Cobra,29,27,173,176,105,71,159,162,144,143
Cobra,25,13,173,168,100,80,160,162,146,140
Cobra,9,8,92,78,81,93,174,165,136,150
Cobra,18,17,142,143,94,90,180,161,172,134
Cobra,26,19,138,136,42,140,175,171,163,161
Cobra,130,123,140,123,107,72,179,176,150,143
Cobra,14,17,84,83,87,90,179,177,166,173
Cobra,19,18,149,148,49,133,176,176,144,147
Cobra,46,51,160,174,131,46,171,169,155,135
Cobra,19,14,164,163,83,97,173,173,158,147
Cobra,2,1,151,145,89,117,71,108,59,104
Cobra,27,27,173,176,92,85,160,162,140,140
