Pose_Class,armpit_left_min,armpit_left_max,elbow_left_min,elbow_left_max,armpit_right_min,armpit_right_max,elbow_right_min,elbow_right_max,hip_left_min,hip_left_max,hip_right_min,hip_right_max,knee_left_min,knee_left_max,knee_right_min,knee_right_max,ankle_left_min,ankle_left_max,ankle_right_min,ankle_right_max
Tree,7.980611945597022,179.9183717841921,11.03828004356204,177.620509799446,0.2316052229701741,179.96761658475518,23.3988603619398,177.26475059733576,15.867768751404117,162.62364809624108,71.91726649564946,163.75591795825804,3.1209261066212455,179.8380040599217,6.173222773553914,179.95178381112177,29.187202098998338,179.93705217171228,80.77376654613337,179.9055242432006
Dog,37.27617110390854,179.89897942917844,98.35207275536077,179.7761070524551,28.968184992308238,179.96537344363082,10.179313407620432,179.40852266792626,0.13851105895316546,179.03925243936564,0.7177010288604163,179.1935436169446,84.0160182754599,179.95422499309194,88.78196197001748,179.9949723509647,65.40047324182089,154.51190622465364,60.612226717679455,151.70973200036659
Chair,75.72584989913456,179.2644204742283,39.197982826619025,178.98724901217892,70.53361674540422,179.14441191696105,69.95590119759179,178.46004317298588,1.8732295982776075,175.7407056369203,0.609209699305036,178.5753857059808,37.54807824893499,175.21720535562895,46.24666292594612,165.4844852113911,46.328538948075845,139.04079792710613,58.09929120199905,141.40578843243497
Warrior,145.5702237835189,179.87492701770634,142.8725120008019,179.66655664236583,144.7592911831578,179.96384945555818,147.24408408048373,178.80925487571622,81.04857846469662,177.13106845795235,36.11030824376943,179.90193417898786,62.810065768700944,179.6674137625095,62.53545224903987,177.64263448748616,60.48974271683397,158.95786104448544,52.97865057639217,171.16399769829178
Cobra,0.22028687667258162,164.86468449352918,29.17942493832293,179.6943596738209,0.2968657079449494,161.48035142374897,19.678869992917306,179.68245123631712,2.610270268972311,178.63593877574783,14.56276013756909,176.7037537850405,9.245196897361975,179.97990373651842,19.775989173882863,179.96585662869617,11.615592231030005,179.99126591436348,77.35701121855485,179.35197855904272
